"From Date","To Date","PM2.5","PM10","NO","NOx","NH3","SO2","CO","Ozone","Benzene","Toluene","RH","WS","WD","SR","BP","AT","NO2"
"01-01-2024 00:00","01-01-2024 08:00","169.34","252.16","30.84","48.47","18.47","2.42","1.5","16.72","2.12","5.32","80.12","0.34","50.06","7.5","742","11.29","43.96"
"01-01-2024 08:00","01-01-2024 16:00","189.75","354.66","45.6","70.03","17.52","2.49","1.7","18.98","2.43","6.26","69.72","0.53","69.94","321.78","741.81","12.69","61.88"
"01-01-2024 16:00","02-01-2024 00:00","242.27","405.1","40.63","66.77","18.89","22.58","1.6","15.44","2.4","13.2","76.1","0.36","60.83","47.37","742","11.47","63.48"
"02-01-2024 00:00","02-01-2024 08:00","243.62","355.09","21.48","44.17","19.99","9.07","1.49","14.83","1.87","6.49","76.69","0.38","74.31","10.44","742","10.57","50.12"
"02-01-2024 08:00","02-01-2024 16:00","137.84","250.03","26.9","49.41","18.32","26.81","1.62","23.22","1.66","5.62","63.88","0.91","55.94","349.44","741.94","12.71","51.81"
"02-01-2024 16:00","03-01-2024 00:00","206.25","358.06","91","119.63","19.94","29.77","2.2","15.89","3.07","14.94","75.78","0.34","32.28","45.94","742","11.34","85.82"
"03-01-2024 00:00","03-01-2024 08:00","166.03","241.84","23.89","42.03","25.83","8.98","1.62","15.05","2.69","5.57","89.26","0.48","41.9","6.35","742","9.87","42.58"
"03-01-2024 08:00","03-01-2024 16:00","232.69","345.78","64.7","93.78","27.27","17.92","2.16","16.68","2.76","12.63","81.38","0.74","53.16","305.06","742","11.31","77.44"
"03-01-2024 16:00","04-01-2024 00:00","344.06","493.97","120.46","147.44","22.7","18.63","2.75","14.79","4.85","17.86","83.16","0.31","18.81","40.87","742","11.08","93.01"
"04-01-2024 00:00","04-01-2024 08:00","246.59","369.28","77.04","95.28","26.43","9.57","1.26","14.31","2.99","14.52","83.62","0.3","93.66","7","742","10.91","61.43"
"04-01-2024 08:00","04-01-2024 16:00","309.53","525.84","112.15","137.62","36.22","11.01","1.91","14.51","3.13","15.39","76.72","0.33","111.91","292","741.91","12.1","87.24"
"04-01-2024 16:00","05-01-2024 00:00","266.06","413.53","83.83","102.47","41.92","9.74","2.4","14.31","3.38","24.72","83.44","0.32","83.75","34.75","741.97","11.62","64.55"
