Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT
01-01-2024 00:00,199.56,335.12,38.99,56.29,61.65,18.28,9.33,1.6,17.08,2.31,8.15,75.3,0.41,60.27,127.21,741.94,11.83
02-01-2024 00:00,195.91,320.67,46.46,62.58,71.07,19.42,22.19,1.77,17.98,2.2,9.02,72.11,0.54,54.18,135.27,741.98,11.54
03-01-2024 00:00,247.44,360.37,69.63,71.08,94.41,25.29,16.65,2.18,15.52,3.43,12.03,84.56,0.51,38.12,119.43,742,10.76
04-01-2024 00:00,274.06,436.22,91.01,71.07,111.79,34.86,10.11,1.86,14.38,3.17,18.21,81.26,0.32,96.44,111.25,741.96,11.54
05-01-2024 00:00,218.28,345.98,66.03,59.13,85.1,42.52,11.37,2.2,15.25,2.75,14.08,84.88,0.32,51.01,79.26,742,12.01
06-01-2024 00:00,223.3,375.88,69.6,68.65,93.07,34.62,18.98,3.57,14.94,2.62,11.18,78.78,0.39,44.39,122.34,741.9,11.72
07-01-2024 00:00,214.33,357.84,64.99,75.71,93.11,29.71,10.04,3.55,17.23,2.26,10.62,74.78,0.39,61.26,137.88,741.89,12.2
08-01-2024 00:00,331.12,531.56,81,82.32,109.17,28.6,15.83,4.11,15.23,3.46,17.74,80.92,0.38,37.85,130.92,741.19,11.53
09-01-2024 00:00,184.92,304.13,58.07,57.75,77.92,41.18,10.64,3.86,15.32,2.27,11.88,80.98,0.44,91.49,115.4,741,11.62
10-01-2024 00:00,177.28,301.01,63.68,58.19,82.73,35.52,12.57,4.56,16.99,1.95,8.31,77.8,0.52,122.65,132.2,741,11.04
11-01-2024 00:00,229.72,375.51,64.65,76.26,93.13,34.08,17.9,3.96,19.54,2.69,12.86,74.56,0.36,99.18,140.09,741,11.73
12-01-2024 00:00,253.56,394.33,64.67,88.45,99.15,38.51,8.7,3.63,18.49,3.31,16.46,76.69,0.33,73.73,133.1,741,11.57
13-01-2024 00:00,420.17,609.42,121.99,115.6,157.44,43.65,23.05,4.2,25.52,4.82,33.16,81.94,0.41,38.68,135.7,741,10.98
14-01-2024 00:00,363.57,574.43,96.19,100.96,136.99,41.99,21.51,4.9,28.18,5.78,27.11,79.74,0.35,75.71,129.65,740.92,11.29
15-01-2024 00:00,238.57,405.96,95.11,107.29,134.89,37.59,23.87,5.13,23.28,3.9,20.28,74.47,0.34,57.03,139.19,740.68,11.82
16-01-2024 00:00,295.29,409.95,49.65,80.14,83,51.07,2.95,4.1,19.36,3.69,24.6,83.56,0.85,40.86,129.59,740.76,10.77
17-01-2024 00:00,226.16,338.07,29.39,71.08,61.7,36.43,4.47,0.79,17.01,2.47,16.9,75.55,0.6,46.65,140.98,740.54,11.46
18-01-2024 00:00,199.32,308.96,36.31,69.16,66.3,39.31,28.82,0.47,16.07,2.52,16.44,79.75,0.51,52.54,133.55,740.17,11.51
19-01-2024 00:00,207.95,313.08,26.8,61.53,54.51,36.6,10.61,0.42,15.26,2.71,15.72,82.33,0.68,50.94,130.27,740.21,10.91
20-01-2024 00:00,198.91,333.6,51.36,77.04,82.73,28.69,15.88,1.33,17.26,2.65,14.88,73.62,0.48,59.24,136.67,739.55,11.88
21-01-2024 00:00,212.08,331.76,69.68,78.84,98.59,34.29,6.48,1.49,15.32,3.31,13.62,80.98,0.39,100.59,132.12,738.91,11.2
22-01-2024 00:00,238.8,373.23,21.74,61.97,50.64,24.47,12.81,1.22,15.6,2.04,8.38,75.73,0.64,44.28,142.06,740.09,11.25
23-01-2024 00:00,256.98,418.2,32.88,79.67,69.11,31.69,15,1.26,14.47,2.65,9.99,79.69,0.7,50.58,128.89,741.78,11.42
24-01-2024 00:00,286.24,467.91,63.26,86.38,97.34,34.79,14.36,1.27,14.34,3.69,15.85,77.56,0.35,51.75,129.86,741.43,11.59
25-01-2024 00:00,263.9,456.6,93.11,103.03,130.51,33.84,16.37,1.42,14.68,3.66,21.07,78.48,0.43,59.4,136.32,741.3,11.34
26-01-2024 00:00,383.65,580.15,156.79,128.73,191.95,48.81,9.04,2.17,16.92,4.76,25.56,75.29,0.34,40.31,140.62,741.51,12.39
27-01-2024 00:00,201.47,397.72,181.39,132.42,211.81,45.19,25.11,1.55,15.12,3.46,17,65.54,0.54,87.28,142.33,741.52,13.46
28-01-2024 00:00,312.73,529.27,139.46,141.01,166,62.31,13.3,None,21.61,4.65,32.95,77.97,0.85,55.43,137.93,741.41,12.08
29-01-2024 00:00,234.3,404.18,49.77,84.95,85.64,41.96,12.14,1.16,16.09,2.85,18.19,75.86,0.44,52.17,142.16,741.36,13.09
30-01-2024 00:00,289.84,464.52,84.3,93.01,118,53.28,29.63,0.67,15.35,4.42,27.23,83.39,0.34,57.41,123.42,740.8,12.79
31-01-2024 00:00,265.73,349.77,85.39,96.5,120.75,53.45,15.3,0.77,33.48,3.56,34.45,88.03,0.58,42.55,109.24,740.97,12.78
