"From Date","To Date","PM2.5","PM10","NO","NO2","NOx","NH3","SO2","CO","Ozone","WS","Temp"
"31-10-2024 16:00","01-11-2024 00:00","286.75","513.62","68.15","77.91","96.84","43.16","10.1","2.16","11.93","0.6","None"
"31-10-2024 08:00","31-10-2024 16:00","181.74","427.75","58.53","63.59","81.41","55","7.05","2.22","21.84","1.19","None"
"31-10-2024 00:00","31-10-2024 08:00","255.88","514.75","220.77","75.89","219.88","58.53","8.21","3.4","7.24","0.47","None"
"31-08-2024 16:00","01-09-2024 00:00","51.53","352.27","30.38","46.06","49.25","14.91","12.91","1.66","78.8","0.78","None"
"31-08-2024 08:00","31-08-2024 16:00","54.76","265.5","50.71","60.13","68.8","14.1","4.18","0.85","58.22","1.16","None"
"31-08-2024 00:00","31-08-2024 08:00","53.38","195","71.17","125.13","124.89","31.08","0.92","0.43","39.43","0.46","None"
"31-07-2024 16:00","01-08-2024 00:00","29.77","79.35","16.42","42.58","35.99","32.2","None","1.53","102.06","0.3","None"
"31-07-2024 08:00","31-07-2024 16:00","55.67","138.14","57.82","65.55","80.49","35.63","14.26","1.77","88.65","0.3","None"
"31-07-2024 00:00","31-07-2024 08:00","64.62","95.88","126.72","57.44","132.01","30.18","14.8","2.01","93.65","0.3","None"
"31-05-2024 16:00","01-06-2024 00:00","104.71","359.13","142.34","120.64","179.92","37.4","24.53","2.82","26.65","0.86","None"
"31-05-2024 08:00","31-05-2024 16:00","80.5","290.62","43.66","66.45","70.77","35.1","26.62","1.6","29.22","1.05","None"
"31-05-2024 00:00","31-05-2024 08:00","104.83","289.31","76.59","80.7","105.18","45.02","23.82","1.96","31.56","0.39","None"
"31-03-2024 16:00","01-04-2024 00:00","None","None","None","None","None","None","None","None","None","None","None"
"31-03-2024 08:00","31-03-2024 16:00","112.61","332.04","19.83","52.67","44.07","11.19","29.17","0.32","53.22","None","None"
"31-03-2024 00:00","31-03-2024 08:00","188.44","461.78","77.41","72.83","101.62","8.95","29.11","1.56","69.56","None","None"
"31-01-2024 16:00","01-02-2024 00:00","214.58","262.42","81.57","105.94","122.64","52.36","13.36","0.8","16.91","0.89","None"
"31-01-2024 08:00","31-01-2024 16:00","321.29","460.41","60.03","118.93","112.09","57.21","15.26","0.76","20.26","0.55","None"
"31-01-2024 00:00","31-01-2024 08:00","266.66","341.03","114.44","64.92","127.56","50.74","17.17","0.77","65.78","0.31","None"
"30-11-2024 16:00","01-12-2024 00:00","150.88","443.88","6.72","322.93","175.35","53.88","26.24","4.59","5.42","0.36","None"
"30-11-2024 08:00","30-11-2024 16:00","224.77","388.48","5.61","153.23","104.12","33.59","18.37","3.21","8.99","0.89","None"
"30-11-2024 00:00","30-11-2024 08:00","373.67","678.52","7.84","424.63","237.83","52.65","44.25","7.73","6.38","0.3","None"
"30-10-2024 16:00","31-10-2024 00:00","214.25","620.38","131.18","94.07","156.69","54.81","22.5","3.12","11.69","0.39","None"
"30-10-2024 08:00","30-10-2024 16:00","223","457.25","32.18","85.5","71.64","59.19","10.34","2.43","49.96","1.08","None"
"30-10-2024 00:00","30-10-2024 08:00","237.03","556","226.08","69.76","220.92","57.85","9.91","3.38","88.74","0.52","None"
